Музеј на современата уметност, Музеј, 370404760, 42.0043142, 21.4325172
Манастир Св. 15 Маченици, Манастир, 4817137480, 41.4300424, 22.6409328
Скупи, Археолошки локалитет, 364977606, 42.0150515, 21.3942891
Мала Кула - Кучково, Археолошки локалитет, 1475333182, 42.0585741, 21.2844339
Голема Кула - Кучково, Археолошки локалитет, 1475333181, 42.0587494, 21.2786993
Меморијален музеј Народен херој Кузман Јосифоски-Питу, Музеј, 10647622855, 41.3424673, 21.5597305
Eтнолошки музеј, Музеј, 5699016423, 41.0240503, 21.0506131
Будинаречки Манастир, Манастир, 8181359649, 41.0374743, 21.742411
Света Недела, Манастир, 7373522743, 41.7503884, 22.2211631
Goce Delchev Memorial House, Музеј, 8582635870, 41.0268197, 21.3320703
Никодински Манастир, Манастир, 8294603434, 41.439082, 21.7432323
Бигорски Манастир, Манастир, 6448580245, 41.6207798, 20.6094915
Мучеинци, Археолошки локалитет, 10597135861, 41.2018152, 21.400072
Старо Село, Манастир, 7924913575, 40.961945, 21.3529929
Лознански Манастир, Манастир, 10597135857, 41.2023548, 21.4005799
Isar-Marvinci, Археолошки локалитет, 2381997483, 41.2780309, 22.4935572
Лавчански Манастир, Манастир, 8155709902, 41.0486478, 20.96855
Марков Манастир, Манастир, 1879222983, 41.8935685, 21.4019815
Довлеџички Манастир, Манастир, 8850721020, 41.0368351, 21.3017797
Беловодички Манастир, Манастир, 4401249389, 41.3403588, 21.6893085
Музеј на Македонија, Музеј, 4346059294, 42.003194, 21.4363088
Велушински Манастир, Манастир, 7925028160, 40.9276323, 21.3397507
Крушевски Манастир, Манастир, 2317947141, 41.3566728, 21.266672
Музеј на Битола, Музеј, 10647549733, 41.0234533, 21.3359067
Спомен-куќа на Татарчеви, Музеј, 11291307339, 41.0884486, 21.0137165
Манастир Св. Богородица, Манастир, 1932828083, 42.125697, 21.4277654
Ленишки Манастир, Манастир, 7557498584, 41.3579928, 21.62686
Манастир Св.Илија Петти Кладенци, Манастир, 9357425538, 42.056071, 21.9893252
Строшки Манастир / Стровјански Манастир, Манастир, 3447148655, 41.5688094, 21.4077471
Манастир Св. Никола, Манастир, 3650611402, 41.7004213, 21.0333308
Хераклеа Линкестис, Археолошки локалитет, 445811700, 41.011223, 21.3434247
Манастир Св. 40 Маченици, Манастир, 1475324917, 42.0609829, 21.3489729
Бигорски Манастир, Манастир, 2365476703, 41.6216704, 20.6089946
Музеј на Илинденското востание и Крушевската Република, Музеј, 2330742586, 41.3691154, 21.2452388
Музеј на Град Скопје, Музеј, 1866027751, 41.9912181, 21.4288883
Мариовски Манастир, Археолошки локалитет, 8357322066, 41.1641326, 21.7260077
Мариовски Манастир, Археолошки локалитет, 8357322066, 41.1641326, 21.7260077
Манастир Св. Архангели, Манастир, 2008402817, 42.1322923, 21.4137098
Св. Троица, Манастир, 6610723419, 41.764959, 22.1992659
Св. Кирил и Методиј,, Манастир, 6610723418, 41.7584182, 22.2049297
Кула, Археолошки локалитет, 8389953648, 41.5070976, 21.2735444
Ропотовски Манастир, Манастир, 9686591110, 41.461482, 21.3755838
Меморијален центар на холокаустот на Евреите од Македонија, Музеј, 1831180534, 41.9984101, 21.4331205
Манастир Св. Андреј, Манастир, 1831180502, 41.9505936, 21.2991931
Дуњски Манастир I, Манастир, 7508603211, 41.2471705, 21.6683015
Манастир Св. Петка, Манастир, 1992453275, 41.7896247, 22.3272927
Бучински Манастир, Манастир, 7487450654, 41.2739482, 21.2918309
Билазора, Археолошки локалитет, 5026420971, 41.8472031, 21.9129575
Антички театар, Археолошки локалитет, 390757129, 41.114509, 20.7935224
Трстенички Манастир, Манастир, 8197273265, 41.3463557, 21.2745507
Манастир Св. Недела, Манастир, 5833960776, 41.2178305, 20.6941689
Цоцев Камен, Археолошки локалитет, 2373710718, 42.0836218, 21.9862589
Девини Кули, Археолошки локалитет, 9651804827, 41.5419808, 21.2384335
Подмочански Манастир, Манастир, 8156957652, 41.0371922, 21.0746419
Манастир Раѓање на Пресвета Богородица, Манастир, 1969493580, 41.6265106, 21.1940593
Северен Пештански Манастир, Манастир, 8354375151, 41.2869809, 21.6709565
Gradiste kaj s.Brazda, Археолошки локалитет, 1734593430, 42.0766913, 21.398848
Дренски Манастир, Манастир, 8357408906, 41.3227806, 21.7798688
Кокренски Манастир, Манастир, 8360908729, 41.2923395, 21.6346572
Bargala, Археолошки локалитет, 5725139643, 41.7995125, 22.289829
Bilazora - Water Reservoir, Археолошки локалитет, 6563945427, 41.8497574, 21.909884
Прилепечки Манастир, Манастир, 10093169777, 41.2905119, 21.5963532
Ѓуришки Манастир, Манастир, 1910070088, 41.9032815, 21.8375135
Кокино, Археолошки локалитет, 1879461479, 42.2633818, 21.953118
Mémorial de Bitola, Музеј, 9656080539, 41.0410392, 21.3585444
Музеј на Дојран, Музеј, 1853704787, 41.1871817, 22.7221034
Голема Пеш, Археолошки локалитет, 11107939919, 41.8117124, 21.1617392
City Museum, Музеј, 2578029313, 42.2020133, 22.3348959
Стоби, Археолошки локалитет, 2193200165, 41.5500415, 21.9755211
Старо Бонче, Археолошки локалитет, 8357407090, 41.2064705, 21.5884945
Крушевички Манастир, Манастир, 7504362964, 41.1979307, 21.6701298
Спомен Костурница, Музеј, 1634988564, 41.7232436, 21.7892333
Спомен куќа на Мајка Тереза, Музеј, 1866191465, 41.9939282, 21.4307694
Слепченски Манастир, Манастир, 3414893085, 41.5023985, 21.465089
Грнчарски Манастир, Манастир, 8174320549, 41.0112523, 21.0816012
Стар Лешочки Манастир, Манастир, 9080921332, 42.0705303, 21.0272818
Тројачки Манастир, Манастир, 10093097387, 41.3670287, 21.7401982
Манастир Свети Ѓорѓи - Кнежино, Манастир, 7647531392, 41.5163053, 20.9213457
Безистен Штип, Музеј, 4407095173, 41.7375614, 22.1924737
Локовски Манастир, Манастир, 8414792672, 41.3884726, 20.6571438
Манастир Добра Вода, Манастир, 1947624343, 41.9381449, 22.4591283
Museum Strumica, Музеј, 9241877277, 41.4354106, 22.6364291
Museum of illusions, Музеј, 6987611917, 41.9962134, 21.4291373
Пелагон, Археолошки локалитет, 8357407106, 41.2081898, 21.6158057
Вардарски Рид, Археолошки локалитет, 2361011357, 41.1493831, 22.5215329
Трескавец, Археолошки локалитет, 2083627387, 41.4040148, 21.5385808
Музеј на град Берово, Музеј, 478699817, 41.7077548, 22.8566138
Roman & Ottoman Bathouse, Археолошки локалитет, 5728310898, 41.3829596, 22.7533399
Музеј, Музеј, 10655733688, 41.3429261, 21.5591038
Леарница, Музеј, 8330162406, 41.3722171, 21.246667
Црквиште, Археолошки локалитет, 7553353679, 42.1566153, 21.1848235
Спомен-дом Блаже Конески, Музеј, 9689688823, 41.4493541, 21.5583418
Музеј Штип, Музеј, 4425404340, 41.736621, 22.1894327
Бешишки Манастир, Манастир, 8418563739, 41.1171533, 21.8048629
Светотодорски Манастир, Манастир, 7893026016, 41.2207542, 21.3291873
Стибера, Археолошки локалитет, 2483423050, 41.2441541, 21.3974596
Манастир Св. Јоаким Осоговски, Манастир, 1921568104, 42.2091103, 22.3613619
Стибера, Археолошки локалитет, 2483423049, 41.2442547, 21.3984167
Тумба Маџари, Археолошки локалитет, 2397354864, 42.0017126, 21.5048038
Полчишки Манастир, Манастир, 4151276489, 41.1367304, 21.8046449
Манастир Св. Никола, Манастир, 1932883269, 42.1100617, 21.4694062
Манастир Св. Архангел Михаил, Манастир, 2222549059, 40.9700239, 21.6423476
Природонаучен Музеј, Музеј, 172348137, 42.005709, 21.4174425
Магаза, Музеј, 456998883, 41.0299956, 21.3350427
Скупи, Археолошки локалитет, 4238986474, 42.020606, 21.3883384
Суводолски Манастир, Манастир, 10611885970, 41.0746204, 21.5392561
Спомен куќа на Страшо Пинџур, Музеј, 2535153634, 41.4184594, 22.0181317
Кале, Археолошки локалитет, 6418857588, 41.0043725, 20.9282003
Штрбовски Манастир, Манастир, 8174254367, 40.9344321, 21.1209598
Бистрички Манастир, Манастир, 4138358544, 40.979811, 21.354975
Чанишки Манастир, Манастир, 8301124314, 41.1582009, 21.6865781
Градиште, Археолошки локалитет, 8357427753, 41.2047717, 21.6439389
Бабо, Археолошки локалитет, 8357427767, 41.1969315, 21.6518979
Вепрчански Манастир, Манастир, 8358710965, 41.2713693, 21.7624049
Лесновски манастир, Манастир, 1923380094, 42.0133138, 22.2274526
Црнобучки Манастир, Манастир, 10595004218, 41.1213623, 21.3356649
Ел Калем, Музеј, 2520833439, 41.987037, 21.287509
Крклински Манастир, Манастир, 7902979989, 41.0687269, 21.3165733
Волковски Манастир, Манастир, 7472495220, 41.304813, 21.5657627
Д-р Никола Незлобински, Музеј, 2279507279, 41.1805738, 20.6776078
Бањичко Кале, Археолошки локалитет, 6535106716, 41.6952366, 21.628172
Лешок, Археолошки локалитет, 9080869837, 42.0669524, 21.0268403
Манастир Св. Пантелејом, Манастир, 1951110047, 41.9685849, 22.3090906
Национална галерија „Даут-пашин амам“, Музеј, 1831061821, 41.998
